RNA Symbol,RNA Category,Species,Tissue/Cell Line,Localization,Score
MIAT,lncRNA,Homo sapiens,neuroblastoma SH-SY5Y cells,Nucleus,0.942621128631126
MIAT,lncRNA,Homo sapiens,neuroblastoma SH-SY5Y cells,Cytoplasm,0.904945420481312
SLC7A11-AS1,lncRNA,Homo sapiens,"oral squamous cell carcinoma cell lines (HN13, HSC6)",Cytoplasm,0.936216130089154
XIST,lncRNA,Homo sapiens,HK2 cells,Cytoplasm,0.964872588858708
MIR663AHG,lncRNA,Homo sapiens,colon cancer cells(Caco2 and HCT116),Cytoplasm,0.694505649698505
MIR663AHG,lncRNA,Homo sapiens,colon cancer cells(SW480),Nucleus,0.815590988686444
GRASLND,lncRNA,Homo sapiens,GC cells,Cytoplasm,0.836757224078988
NEAT1,lncRNA,Homo sapiens,A431 and HSC-5 cells,Cytoplasm,0.969747172493606
NEAT1,lncRNA,Homo sapiens,A431 and HSC-5 cells,Nucleus,0.969808356669669
CBR3-AS1,lncRNA,Homo sapiens,WiDr and HT-29 cells,Nucleus,0.942621128631126
CBR3-AS1,lncRNA,Homo sapiens,WiDr and HT-29 cells,Cytoplasm,0.936216130089154
SLC16A1-AS1,lncRNA,Homo sapiens,TSCCA and CAL-27 cells,Cytoplasm,0.890460238360382
SLC16A1-AS1,lncRNA,Homo sapiens,TSCCA and CAL-27 cells,Nucleus,0.90145991609349
LINC00525,lncRNA,Homo sapiens,A549 cells,Nucleus,0.90145991609349
LINC00525,lncRNA,Homo sapiens,A549 cells,Cytoplasm,0.890460238360382
MALAT1-201,lncRNA,Homo sapiens,mesenchymal stem cells (MSCs),Nucleus,0.694505649698505
LINC00922,lncRNA,Homo sapiens,gastric cancer (GC) cell,Cytoplasm,0.694505649698505
FIRRE,lncRNA,Homo sapiens,RKO cells,Nucleus,0.968399985635632
FIRRE,lncRNA,Homo sapiens,RKO cells,Cytoplasm,0.90145991609349
BBOX1-AS1,lncRNA,Homo sapiens,COV434 granulosa cells,Nucleus,0.795006069178413
BBOX1-AS1,lncRNA,Homo sapiens,COV434 granulosa cells,Cytoplasm,0.836757224078988
PPP1R13B-DT,lncRNA,Homo sapiens,gastric cancer (GC) cell,Nucleus,0.890460238360382
PPP1R13B-DT,lncRNA,Homo sapiens,gastric cancer (GC) cell,Cytoplasm,0.836757224078988
PCGEM1,lncRNA,Homo sapiens,LNCaP and 22RV1 cells,Cytoplasm,0.904945420481312
PCGEM1,lncRNA,Homo sapiens,LNCaP and 22RV1 cells,Nucleus,0.694505649698505
NR2F1-AS1,lncRNA,Homo sapiens,nucleus pulposus (NP) cells,Cytoplasm,0.936216130089154
lncA2B1,lncRNA,Homo sapiens,skeletal muscle satellite cells (MuSCs),Cytoplasm,0.694505649698505
lncA2B1,lncRNA,Homo sapiens,skeletal muscle satellite cells (MuSCs),Nucleus,0.694505649698505
THAP7-AS1,lncRNA,Homo sapiens,MKN-45 cells and BGC-823 cells,Cytoplasm,0.890460238360382
THAP7-AS1,lncRNA,Homo sapiens,MKN-45 cells and BGC-823 cells,Nucleus,0.90145991609349
ALKBH3-AS1,lncRNA,Homo sapiens,HCCLM3 cells,Nucleus,0.890460238360382
ALKBH3-AS1,lncRNA,Homo sapiens,HCCLM3 cells,Cytoplasm,0.890460238360382
MNX1-AS1,lncRNA,Homo sapiens,HepG2 cells,Nucleus,0.959503575794327
